Stream,NewLong,NewLat,Western_Pearlshell,Western_Ridged
East Fork Potlatch River,-116.2853884,46.86095109,10-100    ,NA
East Fork Potlatch River,-116.2853884,46.86095109,10-100    ,NA
East Fork Potlatch River,-116.283502,46.86415021,10-100    ,NA
East Fork Potlatch River,-116.2722453,46.87576252,10-100    ,NA
East Fork Potlatch River,-116.2722453,46.87576252,10-100    ,NA
East Fork Potlatch River,-116.2579903,46.87566781,10-100    ,NA
East Fork Potlatch River,-116.2748095,46.87338836,10-100    ,NA
East Fork Potlatch River,-116.2748095,46.87338836,10-100    ,NA
East Fork Potlatch River,-116.36124,46.85034,10-100    ,NA
East Fork Potlatch River,-116.36124,46.85034,10-100    ,NA
East Fork Potlatch River,-116.3587,46.84968,10-100    ,NA
Elk Creek,-115.4590811,44.414398,10-100    ,NA
Elk Creek,-115.4504533,44.45428037,10-100    ,NA
Fish Creek,-115.35269,46.33815,10-100    ,NA
Fish Creek,-115.35269,46.33815,10-100    ,NA
Fish Creek,-115.4498847,46.33770101,10-100    ,NA
Fish Creek,-115.347164,46.333355,10-100    ,NA
Fish Creek,-115.347164,46.333355,10-100    ,NA
Fish Creek,-115.4498847,46.33770101,10-100    ,NA
Fish Creek,-115.35683,46.342833,10-100    ,NA
Fish Creek,-115.42613,46.344893,10-100    ,NA
Fish Creek,-115.42613,46.344893,10-100    ,NA
Johnson Creek,-115.5431879,44.68534966,10-100    ,NA
Loon Creek,-114.7794141,44.70921827,10-100    ,NA
Loon Creek,-114.7794141,44.70921827,10-100    ,NA
Loon Creek,-114.7794141,44.70921827,10-100    ,NA
Marsh Creek,-115.1644591,44.39252471,10-100    ,NA
Pahsimeroi River,-113.9887903,44.62354172,10-100    ,NA
Pahsimeroi River,-114.0399117,44.68355256,10-100    ,NA
Potlatch River,-116.4497407,46.78622524,10-100    ,NA
Potlatch River,-116.4024446,46.83376033,10-100    ,NA
Potlatch River,-116.4024446,46.83376033,10-100    ,NA
Potlatch River,-116.4416372,46.79000923,10-100    ,NA
Potlatch River,-116.3996704,46.85162921,10-100    ,NA
