Stream,Strata,Section,SectionID,SurveyDate,NewLong,NewLat,Small,Medium,Large,Corbicula_spp,California_Floater,Other_Mussel,Unknown_Mussel,Western_Pearlshell,Western_Ridged
American River,3,2,694,6/17/2016,-115.43398,45.81066,0,1,0,NA,NA,NA,NA,10-100    ,NA
Bear Valley Creek,1,1A,749,7/13/2015,-115.2650818,44.43294253,0,1,1,NA,NA,NA,NA,10-100    ,NA
Bear Valley Creek,2,2B,592,7/12/2015,-115.3008045,44.42442987,0,1,0,NA,NA,NA,NA,10-100    ,NA
Bear Valley Creek,2,2B,592,7/17/2018,-115.3008045,44.42442987,0,1,0,NA,NA,NA,NA,10-100    ,NA
Big Bear Creek,-99,91154,13885,6/3/2016,-116.65834,46.68868703,1,1,0,NA,NA,NA,NA,10-100    ,NA
Bobs Creek,-99,103281,14098,6/6/2016,-116.3246622,46.85715251,0,0,0,NA,NA,NA,NA,10-100    ,NA
Bobs Creek,-99,103281,14098,6/5/2017,-116.3246622,46.85715251,1,1,0,NA,NA,NA,NA,10-100    ,NA
Camas Creek,-99,2,1077,8/13/2017,-114.54255,44.85999,0,1,0,NA,NA,NA,NA,10-100    ,NA
Camas Creek,-99,CAM1,1078,8/15/2016,-114.5550387,44.86596295,0,1,0,NA,NA,NA,NA,10-100    ,NA
Crooked River,3,NATURAL1,1265,6/18/2015,-115.5314,45.79842,0,1,0,NA,NA,NA,NA,10-100    ,NA
Crooked River,4,MEANDER1,1268,6/29/2017,-115.52962,45.80167,0,1,0,NA,NA,NA,NA,10-100    ,NA
Crooked River,4,MEANDER1,1268,6/28/2018,-115.52962,45.80167,0,0,0,NA,NA,NA,NA,10-100    ,NA
Crooked River,-99,243266,14078,6/29/2017,-115.52774,45.81857,0,1,0,NA,NA,NA,NA,10-100    ,NA
Crooked River,-99,243266,14078,6/28/2018,-115.52774,45.81857,0,1,0,NA,NA,NA,NA,10-100    ,NA
East Fork Potlatch River,-99,1,128,6/1/2018,-116.2822624,46.86506075,0,1,1,NA,NA,NA,NA,10-100    ,NA
East Fork Potlatch River,-99,130018,14614,6/3/2017,-116.3759153,46.84530368,0,1,0,NA,NA,NA,NA,10-100    ,NA
East Fork Potlatch River,-99,134001,14616,6/5/2017,-116.2501175,46.87663669,0,0,0,NA,NA,NA,NA,10-100    ,NA
East Fork Potlatch River,-99,134001,14616,6/4/2018,-116.2501175,46.87663669,0,0,0,NA,NA,NA,NA,10-100    ,NA
